MatchID,MatchIDinofficial,MatchDay,MatchNum,HomeTeam.TeamNameEN,AwayTeam.TeamNameEN,MatchTime
df1aa5ab-8342-41ef-986b-d83ae2efcb97,20220430SAT84,SAT,84,Niort,Dijon,2022-05-01 01:00:00
fdbb2b97-3636-4cdf-9afb-6542adaa2e47,20220430SAT85,SAT,85,Paris FC,Valenciennes,2022-05-01 01:00:00
40109ff7-8e2c-4a1e-bd37-0bd2b761f5e0,20220430SAT86,SAT,86,Sochaux,Bastia,2022-05-01 01:00:00
257c36d2-6f90-4ec7-be93-78240d714113,20220430SAT87,SAT,87,US Quevilly Rouen,Pau FC,2022-05-01 01:00:00
3427f6f4-9b02-4ab0-b56c-73804f8ae38a,20220430SAT88,SAT,88,Houston Dynamo,Austin FC,2022-05-01 01:30:00
996abae4-26a3-40e7-9f2a-badb8a2ce07f,20220430SAT89,SAT,89,Heracles,Twente,2022-05-01 02:00:00
c3fb5d89-7e9b-4a5c-bf93-e3a07cd23d0b,20220430SAT90,SAT,90,Porto,Vizela,2022-05-01 02:00:00
309e81d8-c865-4a16-8c8d-e8650e62e1e4,20220430SAT91,SAT,91,Darmstadt,Aue,2022-05-01 02:30:00
da24566d-dd63-42e4-bdb6-99ccc90a7525,20220430SAT93,SAT,93,Spezia,Lazio,2022-05-01 02:45:00
f517bcd7-62f2-414e-b5fe-7e1d2cb13d12,20220430SAT94,SAT,94,RFC Seraing,RWD Molenbeek,2022-05-01 02:45:00
141b2335-aa13-43b4-8779-a4c7d2e4c56d,20220430SAT95,SAT,95,Bilbao,Atletico Madrid,2022-05-01 03:00:00
42fece3c-dfdd-4b9d-8def-d256c654d3b9,20220430SAT96,SAT,96,Rennes,St. Etienne,2022-05-01 03:00:00
51d98c4d-8bf5-4c22-8623-6610b892705f,20220430SAT97,SAT,97,Sparta Rotterdam,AZ Alkmaar,2022-05-01 03:00:00
2b602e34-a807-4827-bf6f-3ff61a63af9a,20220430SAT100,SAT,100,Toronto FC,FC Cincinnati,2022-05-01 03:00:00
ba5b8cae-bede-43cb-9df9-9ce66bda1b03,20220430SAT102,SAT,102,America Mineiro,Athletico Paranaense,2022-05-01 03:30:00
fc984e63-450c-4709-ba59-f8ebf9af1083,20220430SAT103,SAT,103,Ceara,RB Bragantino,2022-05-01 03:30:00
d3b087ce-33c8-4b8b-b91b-39319d546109,20220430SAT104,SAT,104,Real Salt Lake,LA Galaxy,2022-05-01 03:30:00
1d062cbc-aa07-4d13-98a0-ff82a121a4c2,20220430SAT105,SAT,105,Belenenses,Braga,2022-05-01 04:00:00
a1368918-751a-463f-8277-e2279adeb300,20220430SAT106,SAT,106,CF Montreal,Atlanta Utd,2022-05-01 04:00:00
6095e570-4b54-4dd4-9e2f-fb5d485c0328,20220430SAT107,SAT,107,Goias,Atletico Mineiro,2022-05-01 05:30:00
